,Start,Finish,diff,State,Pop,Deaths Percent of Population,NewDeaths Per 100K
0,21001,21032,31,Alabama,4934193,0.42625004737350164,0.6282688982777934
1,1486,1486,0,Alaska,724357,0.20514746181786053,0.0
2,33076,33102,26,Arizona,7520103,0.4401801411496624,0.34573994531723834
3,12990,13020,30,Arkansas,3033946,0.4291440915560132,0.9888112708663899
4,100954,101159,205,California,39613493,0.25536500908920096,0.5175004385500668
5,14127,14181,54,Colorado,5893634,0.2406155523060984,0.9162428477913627
6,12187,12220,33,Connecticut,3552821,0.3439520313576169,0.9288393645500294
7,3324,3324,0,Delaware,990334,0.33564433817277806,0.0
8,1430,1432,2,District of Columbia,714153,0.20051725610618454,0.28005203366785547
9,86460,86850,390,Florida,21944577,0.3957697612489865,1.7772044546586612
10,42427,42489,62,Georgia,10830007,0.39232661622471715,0.5724834711556511
11,1834,1841,7,Hawaii,1406430,0.1308988005090904,0.49771407037676957
12,5399,5416,17,Idaho,1860123,0.2911635413357073,0.9139180581069102
13,41443,41496,53,Illinois,12569321,0.3301371649272065,0.42166159969977696
14,26091,26115,24,Indiana,6805663,0.3837245540956113,0.3526474937122217
15,10700,10725,25,Iowa,3167974,0.3385444451248653,0.7891478907339516
16,10055,10066,11,Kansas,2917224,0.3450540650975037,0.3770708042988814
17,18094,18130,36,Kentucky,4480713,0.404623103510535,0.8034435590942781
18,18738,18766,28,Louisiana,4627002,0.4055757918410236,0.6051434600633413
19,2921,2928,7,Maine,1354522,0.21616481681360658,0.5167874718904529
20,16500,16544,44,Maryland,6065436,0.2727586277392095,0.7254218822851317
21,24249,24333,84,Massachusetts,6912239,0.3520277582994453,1.2152357579070978
22,42096,42205,109,Michigan,9992427,0.42236986069550464,1.0908260825923473
23,14820,14870,50,Minnesota,5706398,0.2605846980880058,0.8762094757498513
24,13351,13370,19,Mississippi,2966407,0.4507136074045133,0.640505500425262
25,22798,22870,72,Missouri,6169038,0.37072230710849896,1.1671187630875348
26,3651,3652,1,Montana,1085004,0.3365886208714438,0.09216555883664945
27,4915,4936,21,Nebraska,1951996,0.2528693706339562,1.0758218766841734
28,11916,11922,6,Nevada,3185786,0.3742247596040663,0.18833656749072283
29,2995,3003,8,New Hampshire,1372203,0.2188451708675757,0.5830041181953399
30,35987,36015,28,New Jersey,8874520,0.40582476573380866,0.31551002195048294
31,9047,9061,14,New Mexico,2105005,0.4304502839660713,0.6650815556257587
32,77081,77157,76,New York,19299981,0.3997775956359749,0.39378277108148446
33,28389,28432,43,North Carolina,10701022,0.26569424864279323,0.40183077840602516
34,2465,2470,5,North Dakota,770026,0.3207683896387914,0.6493287239651648
35,41749,41796,47,Ohio,11714618,0.3567850014400811,0.4012081315839749
36,17940,17972,32,Oklahoma,3990443,0.45037606100375327,0.8019159777498388
37,9361,9373,12,Oregon,4289439,0.2185134233171284,0.2797568633100972
38,50281,50398,117,Pennsylvania,12804123,0.3936075903050916,0.9137681667069272
39,5806,5823,17,Puerto Rico,3194374,0.182289237265267,0.5321856488939617
40,3865,3870,5,Rhode Island,1061509,0.36457533567779454,0.47102756547518676
41,19532,19600,68,South Carolina,5277830,0.37136474649619255,1.2884083041704641
42,3181,3190,9,South Dakota,896581,0.3557960741974233,1.0038133754786238
43,29246,29263,17,Tennessee,6944260,0.4213983923413006,0.24480650206069474
44,93279,93390,111,Texas,29730311,0.31412385830743583,0.37335633656842676
45,5287,5298,11,Utah,3310774,0.16002300368433484,0.33224859202108026
46,910,929,19,Vermont,623251,0.14905712144866196,3.048531009176078
47,23649,23666,17,Virginia,8603985,0.2750585920361321,0.19758286421931232
48,15683,15683,0,Washington,7796941,0.20114298671748318,0.0
49,7938,7960,22,West Virginia,1767859,0.4502621532599603,1.244443137150644
50,16324,16375,51,Wisconsin,5852490,0.27979543749754376,0.8714239580076172
51,2002,2004,2,Wyoming,581075,0.3448780277933141,0.3441896484963215
